City,DT,Country,Lat,Lon,Temp,Color,Feels_Like,Hi,Low,Cloudiness,Weather,Humidity,Wind
saskylakh,1579886727.0,RU,71.92,114.08,-27.94,blue,-47.51,-27.94,-27.94,100.0,overcast clouds,87.0,22.28
castro,1579886528.0,BR,-24.79,-50.01,74.53,orange,74.1,74.53,74.53,26.0,light rain,61.0,6.71
hermanus,1579886653.0,ZA,-34.42,19.23,73.0,orange,75.72,73.0,73.0,0.0,clear sky,81.0,5.99
cape town,1579886673.0,ZA,-33.93,18.42,69.94,orange,65.7,73.0,69.01,0.0,clear sky,77.0,14.99
puerto ayora,1579886779.0,EC,-0.74,-90.35,82.71,red,79.54,86.0,79.0,40.0,scattered clouds,58.0,16.11
faanui,1579886780.0,PF,-16.48,-151.75,82.4,red,83.57,82.4,82.4,17.0,few clouds,74.0,14.54
roald,1579886781.0,NO,62.58,6.13,35.74,green,21.11,39.2,30.0,75.0,shower rain,69.0,18.34
son la,1579886782.0,VN,21.32,103.9,60.31,orange,61.3,60.31,60.31,11.0,light rain,89.0,2.19
vaini,1579886651.0,TO,-21.2,-175.2,77.0,orange,82.4,77.0,77.0,20.0,few clouds,88.0,6.93
bredasdorp,1579886654.0,ZA,-34.53,20.04,71.01,orange,72.99,73.0,69.8,0.0,clear sky,77.0,4.7
lorengau,1579886785.0,PG,-2.02,147.27,83.53,red,89.47,83.53,83.53,5.0,clear sky,70.0,5.53
sitka,1579886606.0,US,57.05,-135.33,34.77,green,24.91,35.6,33.8,90.0,light rain,93.0,11.41
severo-kurilsk,1579886788.0,RU,50.68,156.12,14.31,blue,-4.25,14.31,14.31,80.0,light snow,87.0,22.82
bambous virieux,1579886764.0,MU,-20.34,57.76,80.76,red,88.34,81.0,80.6,75.0,shower rain,88.0,6.93
piacabucu,1579886790.0,BR,-10.41,-36.43,85.08,red,85.66,85.08,85.08,67.0,broken clouds,64.0,13.91
nikolskoye,1579886791.0,RU,59.7,30.79,34.79,green,23.92,36.0,32.0,67.0,light snow,96.0,13.42
carutapera,1579886687.0,BR,-1.2,-46.02,82.83,red,85.75,82.83,82.83,42.0,light rain,81.0,14.67
olinda,1579886817.0,BR,-8.01,-34.86,86.0,red,90.21,86.0,86.0,40.0,scattered clouds,66.0,9.17
cidreira,1579886671.0,BR,-30.18,-50.21,74.08,orange,72.43,74.08,74.08,10.0,clear sky,74.0,12.53
qaanaaq,1579886711.0,GL,77.48,-69.36,-9.54,blue,-20.18,-9.54,-9.54,0.0,clear sky,50.0,6.6
nhulunbuy,1579886717.0,AU,-12.23,136.77,80.6,red,86.81,80.6,80.6,100.0,overcast clouds,88.0,9.17
vila franca do campo,1579886804.0,PT,37.72,-25.43,59.0,orange,52.27,59.0,59.0,20.0,few clouds,62.0,10.29
ushuaia,1579886822.0,AR,-54.8,-68.3,55.4,orange,51.26,55.4,55.4,75.0,broken clouds,54.0,3.06
sisimiut,1579886824.0,GL,66.94,-53.67,10.31,blue,-0.49,10.31,10.31,98.0,light snow,87.0,8.61
ribeira grande,1579886581.0,PT,38.52,-28.7,59.0,orange,54.03,59.0,59.0,75.0,broken clouds,67.0,8.05
sao filipe,1579886583.0,CV,14.9,-24.5,74.61,orange,69.62,74.61,74.61,2.0,clear sky,67.0,16.67
punta arenas,1579886589.0,CL,-53.15,-70.92,43.83,green,35.22,44.6,42.8,90.0,light rain,87.0,11.41
mataura,1579886828.0,NZ,-46.19,168.86,59.0,orange,57.45,59.0,59.0,100.0,overcast clouds,95.0,7.0
yellowknife,1579886672.0,CA,62.46,-114.35,5.0,blue,-7.04,5.0,5.0,75.0,light snow,84.0,10.29
buchanan,1579886830.0,LR,5.88,-10.05,83.28,red,89.46,83.28,83.28,38.0,scattered clouds,75.0,6.91
rikitea,1579886560.0,PF,-23.12,-134.97,78.08,orange,74.28,78.08,78.08,0.0,clear sky,71.0,18.45
hobart,1579886833.0,AU,-42.88,147.33,57.36,orange,50.23,60.8,53.01,99.0,overcast clouds,55.0,9.17
kushima,1579886835.0,JP,31.46,131.23,53.1,green,51.48,53.1,53.1,99.0,overcast clouds,83.0,2.13
pisco,1579886627.0,PE,-13.7,-76.22,71.6,orange,63.3,71.6,71.6,75.0,broken clouds,30.0,10.29
coihaique,1579886656.0,CL,-45.58,-72.07,63.3,orange,56.79,64.4,60.8,75.0,broken clouds,55.0,10.29
butaritari,1579886839.0,KI,3.07,172.79,84.2,red,89.87,84.2,84.2,100.0,light rain,74.0,8.32
dubbo,1579886840.0,AU,-32.25,148.62,73.4,orange,65.57,73.4,73.4,0.0,clear sky,31.0,10.29
taoudenni,1579886803.0,ML,22.68,-3.98,81.84,red,73.47,81.84,81.84,100.0,overcast clouds,13.0,7.16
broome,1579886842.0,US,42.25,-75.83,46.06,green,39.47,50.0,42.8,1.0,clear sky,52.0,4.7
torbay,1579886564.0,CA,47.67,-52.73,32.99,green,20.97,34.0,32.0,75.0,broken clouds,81.0,14.0
tuktoyaktuk,1579886571.0,CA,69.45,-133.04,-4.0,blue,-13.92,-4.0,-4.0,90.0,overcast clouds,76.0,5.82
port alfred,1579886652.0,ZA,-33.59,26.89,66.99,orange,70.84,66.99,66.99,67.0,moderate rain,91.0,1.99
bitung,1579886847.0,ID,1.45,125.18,75.2,orange,83.35,75.2,75.2,20.0,few clouds,94.0,2.24
nanortalik,1579886850.0,GL,60.14,-45.24,25.95,blue,8.85,25.95,25.95,100.0,light snow,93.0,22.26
bengkulu,1579886612.0,ID,-3.8,102.27,74.03,orange,80.91,74.03,74.03,100.0,heavy intensity rain,97.0,4.27
vila velha,1579886650.0,BR,-20.33,-40.29,78.62,red,83.03,80.01,77.0,90.0,light rain,88.0,10.29
pokhara,1579886853.0,NP,28.23,83.98,45.61,green,42.75,45.61,45.61,12.0,few clouds,89.0,2.06
ler,1579886706.0,SS,8.3,30.14,76.12,orange,69.31,76.12,76.12,91.0,overcast clouds,18.0,5.12
nakasongola,1579886825.0,UG,1.31,32.46,79.57,orange,77.23,79.57,79.57,49.0,scattered clouds,36.0,4.41
