City,DT,Country,Lat,Lon,Temp,Color,Feels_Like,Hi,Low,Cloudiness,Weather,Humidity,Wind
albany,1579885170.0,US,42.6,-73.97,36.54,green,28.09,46.0,30.2,1.0,clear sky,47.0,5.82
vestmannaeyjar,1579884796.0,IS,63.44,-20.27,35.6,green,22.05,35.6,35.6,90.0,overcast clouds,80.0,17.22
mackay,1579885267.0,AU,-21.15,149.2,79.86,red,87.53,81.0,78.01,75.0,broken clouds,88.0,5.82
mananara,1579885268.0,MG,-16.17,49.77,79.29,orange,82.49,79.29,79.29,100.0,light rain,84.0,11.68
mar del plata,1579885270.0,AR,-38.0,-57.56,89.6,red,79.0,89.6,89.6,0.0,clear sky,43.0,27.51
airai,1579885271.0,TL,-8.93,125.41,67.32,orange,70.77,67.32,67.32,73.0,broken clouds,92.0,3.18
hilo,1579885272.0,US,19.73,-155.09,65.61,orange,64.96,68.0,61.0,75.0,broken clouds,77.0,5.82
mount gambier,1579884766.0,AU,-37.83,140.77,59.0,orange,57.29,59.0,59.0,40.0,scattered clouds,93.0,6.93
rikitea,1579885274.0,PF,-23.12,-134.97,78.08,orange,74.28,78.08,78.08,0.0,clear sky,71.0,18.45
ligayan,1579885275.0,PH,4.65,119.47,82.11,red,87.3,82.11,82.11,24.0,light rain,81.0,9.91
chebsara,1579885276.0,RU,59.2,38.84,32.0,green,24.31,32.0,32.0,75.0,broken clouds,91.0,6.71
derzhavinsk,1579885277.0,KZ,51.1,66.32,16.88,blue,5.7,16.88,16.88,100.0,overcast clouds,95.0,10.31
dikson,1579885278.0,RU,73.51,80.55,-3.57,blue,-14.78,-3.57,-3.57,100.0,light snow,96.0,8.43
klyuchi,1579885279.0,RU,52.27,79.17,29.64,blue,16.81,29.64,29.64,100.0,light snow,96.0,15.61
qaanaaq,1579885280.0,GL,77.48,-69.36,-9.54,blue,-20.18,-9.54,-9.54,0.0,clear sky,50.0,6.6
saint-pierre,1579885282.0,RE,-21.34,55.48,76.53,orange,78.26,78.8,71.01,75.0,light rain,94.0,14.99
pimentel,1579885283.0,PE,-6.84,-79.93,66.2,orange,59.5,66.2,66.2,85.0,overcast clouds,29.0,5.82
busselton,1579885284.0,AU,-33.65,115.33,61.0,orange,61.7,61.0,61.0,80.0,broken clouds,78.0,1.01
guiyang,1579885239.0,CN,26.58,106.72,33.8,green,27.9,33.8,33.8,90.0,overcast clouds,98.0,4.47
vostok,1579885286.0,RU,46.49,135.88,-15.12,blue,-24.79,-15.12,-15.12,5.0,clear sky,97.0,5.12
ushuaia,1579885287.0,AR,-54.8,-68.3,53.6,green,48.24,53.6,53.6,75.0,broken clouds,54.0,4.7
khatanga,1579885233.0,RU,71.97,102.5,-26.88,blue,-39.14,-26.88,-26.88,97.0,overcast clouds,88.0,9.33
butaritari,1579885289.0,KI,3.07,172.79,84.2,red,89.87,84.2,84.2,100.0,light rain,74.0,8.32
punta arenas,1579885290.0,CL,-53.15,-70.92,43.5,green,35.8,46.4,42.01,90.0,light rain,93.0,10.29
east london,1579885168.0,ZA,-33.02,27.91,73.4,orange,73.58,73.4,73.4,84.0,light rain,83.0,11.41
sabha,1579885293.0,LY,27.04,14.43,60.35,orange,49.78,60.35,60.35,29.0,scattered clouds,18.0,9.35
quelimane,1579885294.0,MZ,-17.88,36.89,78.51,orange,81.84,78.51,78.51,72.0,broken clouds,76.0,7.9
atuona,1579885257.0,PF,-9.8,-139.03,80.01,red,81.46,80.01,80.01,43.0,light rain,81.0,14.41
taltal,1579885296.0,CL,-25.4,-70.48,74.73,orange,74.3,74.73,74.73,11.0,few clouds,65.0,8.08
kavieng,1579885298.0,PG,-2.57,150.8,83.28,red,87.69,83.28,83.28,0.0,clear sky,65.0,5.97
ixtapa,1579885246.0,MX,20.7,-105.2,76.51,orange,80.15,79.0,73.4,75.0,broken clouds,73.0,4.7
hermanus,1579885300.0,ZA,-34.42,19.23,73.0,orange,75.16,73.0,73.0,0.0,clear sky,81.0,7.0
hobart,1579885098.0,AU,-42.88,147.33,57.49,orange,49.37,60.8,53.01,99.0,overcast clouds,51.0,10.29
cape town,1579885201.0,ZA,-33.93,18.42,72.32,orange,67.75,73.99,70.0,0.0,clear sky,69.0,14.99
sitka,1579885304.0,US,57.05,-135.33,33.8,green,23.99,33.8,33.8,90.0,light rain,98.0,11.41
topolobampo,1579885305.0,MX,25.6,-109.05,63.99,orange,66.24,66.99,60.8,75.0,broken clouds,87.0,1.86
cherskiy,1579885306.0,RU,68.75,161.3,-37.39,blue,-46.7,-37.39,-37.39,65.0,broken clouds,97.0,3.96
mataura,1579885307.0,NZ,-46.19,168.86,59.0,orange,53.89,59.0,59.0,100.0,overcast clouds,93.0,13.0
devgarh,1579885308.0,IN,25.53,73.9,55.76,orange,50.63,55.76,55.76,0.0,clear sky,33.0,1.59
kruisfontein,1579885247.0,ZA,-34.0,24.73,71.47,orange,75.6,71.47,71.47,51.0,broken clouds,78.0,1.5
tura,1579885141.0,IN,25.52,90.22,54.39,green,49.98,54.39,54.39,0.0,clear sky,53.0,3.09
huarmey,1579885313.0,PE,-10.07,-78.15,83.37,red,80.55,83.37,83.37,18.0,few clouds,48.0,11.92
san quintin,1579884746.0,MX,30.48,-115.95,62.17,orange,60.15,62.17,62.17,100.0,overcast clouds,72.0,5.26
tuatapere,1579884866.0,NZ,-46.13,167.68,61.0,orange,59.27,61.0,61.0,100.0,light rain,92.0,8.01
faya,1579885317.0,SA,18.39,42.45,52.66,green,47.44,53.6,51.8,40.0,scattered clouds,81.0,8.05
kapaa,1579885318.0,US,22.08,-159.32,62.98,orange,62.67,64.4,62.01,1.0,clear sky,82.0,4.7
bredasdorp,1579885319.0,ZA,-34.53,20.04,72.27,orange,75.51,73.0,71.6,0.0,clear sky,73.0,2.24
port hedland,1579885029.0,AU,-20.32,118.57,84.2,red,90.9,84.2,84.2,0.0,clear sky,83.0,10.29
new norfolk,1579885321.0,AU,-42.78,147.06,57.38,orange,49.24,60.8,53.01,100.0,light rain,51.0,10.29
tuktoyaktuk,1579885322.0,CA,69.45,-133.04,-4.0,blue,-14.55,-4.0,-4.0,90.0,overcast clouds,76.0,6.93
warrnambool,1579885323.0,AU,-38.38,142.48,61.0,orange,55.33,61.0,61.0,33.0,scattered clouds,87.0,14.05
pakala,1579885324.0,IN,13.47,79.12,78.8,orange,84.72,78.8,78.8,64.0,haze,69.0,1.1
papa,1579885325.0,HU,47.33,17.47,28.89,blue,19.45,30.2,28.0,90.0,mist,92.0,9.17
puerto ayora,1579885326.0,EC,-0.74,-90.35,81.27,red,81.88,84.2,79.0,75.0,broken clouds,66.0,11.41
cairns,1579885224.0,AU,-16.92,145.77,77.11,orange,88.11,78.01,75.99,90.0,light rain,100.0,1.12
georgetown,1579885329.0,MY,5.41,100.34,82.49,red,82.87,84.2,80.01,20.0,few clouds,54.0,8.05
praia da vitoria,1579885330.0,PT,38.73,-27.07,57.2,orange,51.37,57.2,57.2,75.0,broken clouds,76.0,10.36
klaksvik,1579885249.0,FO,62.23,-6.59,39.2,green,30.99,39.2,39.2,100.0,light rain,86.0,9.17
sao filipe,1579885332.0,CV,14.9,-24.5,74.61,orange,69.62,74.61,74.61,2.0,clear sky,67.0,16.67
castro,1579885333.0,BR,-24.79,-50.01,74.53,orange,74.1,74.53,74.53,26.0,light rain,61.0,6.71
husavik,1579885334.0,IS,66.04,-17.34,32.0,green,23.79,32.0,32.0,75.0,broken clouds,80.0,6.93
touros,1579885335.0,BR,-5.2,-35.46,87.8,red,88.05,87.8,87.8,75.0,broken clouds,55.0,12.75
jamestown,1579885336.0,US,42.1,-79.24,41.7,green,30.25,45.0,39.2,90.0,overcast clouds,41.0,11.41
avera,1579885337.0,US,33.19,-82.53,56.82,orange,53.8,60.8,55.0,90.0,overcast clouds,100.0,9.17
oleksandrivka,1579885338.0,UA,48.96,32.23,32.54,green,20.57,32.54,32.54,86.0,overcast clouds,68.0,12.95
nikolayevsk-na-amure,1579885339.0,RU,53.14,140.73,-6.32,blue,-15.18,-6.32,-6.32,100.0,light snow,98.0,4.09
pathein,1579885341.0,MM,16.78,94.73,76.78,orange,70.84,76.78,76.78,47.0,scattered clouds,53.0,15.3
kozhva,1579885342.0,RU,65.11,57.05,-0.62,blue,-9.11,-0.62,-0.62,92.0,light snow,97.0,3.8
ribeira grande,1579885343.0,PT,38.52,-28.7,59.0,orange,53.53,59.0,59.0,75.0,broken clouds,62.0,8.05
dzerzhinskoye,1579885345.0,RU,56.83,95.23,28.18,blue,20.28,28.18,28.18,100.0,overcast clouds,89.0,6.15
conceicao da barra,1579885346.0,BR,-18.59,-39.73,78.39,orange,71.73,78.39,78.39,100.0,light rain,82.0,27.63
pevek,1579885260.0,RU,69.7,170.31,-27.89,blue,-35.9,-27.89,-27.89,0.0,clear sky,97.0,1.81
san patricio,1579885349.0,MX,19.22,-104.7,77.0,orange,82.06,77.0,77.0,40.0,scattered clouds,78.0,4.23
vaini,1579885244.0,TO,-21.2,-175.2,77.0,orange,80.83,77.0,77.0,40.0,scattered clouds,83.0,8.05
ilulissat,1579884769.0,GL,69.22,-51.1,19.4,blue,4.46,19.4,19.4,75.0,broken clouds,62.0,16.11
chokurdakh,1579885352.0,RU,70.63,147.92,-35.1,blue,-44.81,-35.1,-35.1,0.0,clear sky,88.0,4.68
caravelas,1579885353.0,BR,-17.71,-39.25,78.44,orange,76.62,78.44,78.44,100.0,light rain,85.0,20.13
burdur,1579885354.0,TR,37.72,30.29,31.53,green,23.76,33.8,30.2,0.0,clear sky,58.0,4.7
lebu,1579885355.0,CL,-37.62,-73.65,72.01,orange,62.98,72.01,72.01,0.0,clear sky,32.0,12.28
bluff,1579885357.0,NZ,-46.6,168.33,59.0,orange,53.89,59.0,59.0,100.0,light rain,93.0,13.0
khadyzhensk,1579885358.0,RU,44.43,39.53,30.6,blue,21.45,30.6,30.6,31.0,scattered clouds,79.0,8.25
vila franca do campo,1579885242.0,PT,37.72,-25.43,59.0,orange,55.92,59.0,59.0,20.0,few clouds,67.0,4.7
port alfred,1579885361.0,ZA,-33.59,26.89,66.99,orange,69.58,66.99,66.99,67.0,moderate rain,90.0,4.0
todos santos,1579885205.0,MX,23.45,-110.22,66.42,orange,67.33,71.01,60.8,75.0,broken clouds,82.0,4.7
san juan,1579885109.0,AR,-31.54,-68.54,97.38,red,87.37,97.38,97.38,53.0,broken clouds,17.0,15.77
menongue,1579885365.0,AO,-14.66,17.69,70.38,orange,71.73,70.38,70.38,43.0,scattered clouds,68.0,2.95
kieta,1579885366.0,PG,-6.22,155.63,81.01,red,87.13,81.01,81.01,37.0,scattered clouds,77.0,5.61
aripuana,1579885367.0,BR,-9.17,-60.63,81.09,red,90.72,81.09,81.09,66.0,light rain,91.0,4.76
